StartDate,Consumption
22-01-2018,220.5
23-01-2018,203.6
24-01-2018,219.45
25-01-2018,232.4
26-01-2018,207.65
27-01-2018,100.05
28-01-2018,56.35
29-01-2018,213.55
30-01-2018,224.9
31-01-2018,233.15
01-02-2018,232.75
02-02-2018,206.75
03-02-2018,122.25
04-02-2018,69.4
05-02-2018,238
06-02-2018,228.55
07-02-2018,243.75
